,bnds,time,member,lat,lat_bnds,lon,lon_bnds,time_bnds,member_id,gcm_institution,gcm_model,gcm_variant,rcm_institution,rcm_model,rcm_variant,mrro,crs
35,0,2006-08-01,0,37.0625,37.0,25.3125,25.25,2006-08-01,CNRM-CERFACS_CNRM-CM5_r1i1p1_CNRM_ALADIN63_v2,CNRM-CERFACS,CNRM-CM5,r1i1p1,CNRM,ALADIN63,v2,0.0048828125,-2147483647
36,0,2006-08-01,1,37.0625,37.0,25.3125,25.25,2006-08-01,MIROC_MIROC5_r1i1p1_CLMcom_CCLM4-8-17_v1,MIROC,MIROC5,r1i1p1,CLMcom,CCLM4-8-17,v1,0.16210938,-2147483647
37,0,2006-08-01,2,37.0625,37.0,25.3125,25.25,2006-08-01,MOHC_HadGEM2-ES_r1i1p1_ICTP_RegCM4-6_v1,MOHC,HadGEM2-ES,r1i1p1,ICTP,RegCM4-6,v1,,-2147483647
38,0,2006-08-01,3,37.0625,37.0,25.3125,25.25,2006-08-01,MPI-M_MPI-ESM-LR_r1i1p1_ICTP_RegCM4-6_v1,MPI-M,MPI-ESM-LR,r1i1p1,ICTP,RegCM4-6,v1,,-2147483647
39,0,2006-08-01,4,37.0625,37.0,25.3125,25.25,2006-08-01,NCC_NorESM1-M_r1i1p1_ICTP_RegCM4-6_v1,NCC,NorESM1-M,r1i1p1,ICTP,RegCM4-6,v1,,-2147483647
40,0,2006-09-01,0,37.0625,37.0,25.3125,25.25,2006-09-01,CNRM-CERFACS_CNRM-CM5_r1i1p1_CNRM_ALADIN63_v2,CNRM-CERFACS,CNRM-CM5,r1i1p1,CNRM,ALADIN63,v2,0.0029296875,-2147483647
41,0,2006-09-01,1,37.0625,37.0,25.3125,25.25,2006-09-01,MIROC_MIROC5_r1i1p1_CLMcom_CCLM4-8-17_v1,MIROC,MIROC5,r1i1p1,CLMcom,CCLM4-8-17,v1,0.0,-2147483647
42,0,2006-09-01,2,37.0625,37.0,25.3125,25.25,2006-09-01,MOHC_HadGEM2-ES_r1i1p1_ICTP_RegCM4-6_v1,MOHC,HadGEM2-ES,r1i1p1,ICTP,RegCM4-6,v1,,-2147483647
43,0,2006-09-01,3,37.0625,37.0,25.3125,25.25,2006-09-01,MPI-M_MPI-ESM-LR_r1i1p1_ICTP_RegCM4-6_v1,MPI-M,MPI-ESM-LR,r1i1p1,ICTP,RegCM4-6,v1,,-2147483647
44,0,2006-09-01,4,37.0625,37.0,25.3125,25.25,2006-09-01,NCC_NorESM1-M_r1i1p1_ICTP_RegCM4-6_v1,NCC,NorESM1-M,r1i1p1,ICTP,RegCM4-6,v1,,-2147483647
45,0,2006-10-01,0,37.0625,37.0,25.3125,25.25,2006-10-01,CNRM-CERFACS_CNRM-CM5_r1i1p1_CNRM_ALADIN63_v2,CNRM-CERFACS,CNRM-CM5,r1i1p1,CNRM,ALADIN63,v2,0.022460938,-2147483647
46,0,2006-10-01,1,37.0625,37.0,25.3125,25.25,2006-10-01,MIROC_MIROC5_r1i1p1_CLMcom_CCLM4-8-17_v1,MIROC,MIROC5,r1i1p1,CLMcom,CCLM4-8-17,v1,0.48339844,-2147483647
