time,t
2021-06-01,14.130144126760563
2021-07-01,16.62447731690141
2021-08-01,17.140322394366198
2021-09-01,14.866664830985915
2021-10-01,11.588867211267607
2021-11-01,8.00312226197183
2021-12-01,4.397117077746479
2022-01-01,2.2805760435211266
2022-02-01,2.4603323067605634
2022-03-01,3.4289310087323943
2022-04-01,6.294399229577465
2022-05-01,10.370488553521126
2022-06-01,14.634339232394368
2022-07-01,16.620488591549297
2022-08-01,16.545458387323944
2022-09-01,14.955119429577467
2022-10-01,11.838935964788732
2022-11-01,7.886154785915493
2022-12-01,4.623597050422536
2023-01-01,3.0478928280985915
2023-02-01,2.3901298352112677
2023-03-01,3.6538842380281693
2023-04-01,6.702340997183098
2023-05-01,10.61423028028169
2023-06-01,14.204816823943661
2023-07-01,16.759119176056338
